time,year,FIN,SWE,NOR,DEN,BAL
10.01.2018 05:00 - 10.01.2018 06:00,2018,0.099438582,0.324833644,0.474984121,0.56091544,0.332498782
10.01.2018 06:00 - 10.01.2018 07:00,2018,0.083198797,0.31881702,0.461509466,0.542615685,0.324548562
10.01.2018 07:00 - 10.01.2018 08:00,2018,0.070540572,0.316385326,0.454955953,0.52653929,0.319796182
10.01.2018 08:00 - 10.01.2018 09:00,2018,0.064045824,0.321451843,0.445742917,0.513027819,0.316704337
10.01.2018 09:00 - 10.01.2018 10:00,2018,0.061932486,0.328575933,0.451727604,0.47480864,0.299440797
10.01.2018 10:00 - 10.01.2018 11:00,2018,0.070629329,0.339212379,0.477213471,0.40284044,0.264269781
10.01.2018 11:00 - 10.01.2018 12:00,2018,0.064097708,0.325059255,0.487667337,0.368055026,0.26036767
10.01.2018 12:00 - 10.01.2018 13:00,2018,0.060068247,0.318709628,0.477069921,0.356691215,0.262779039
10.01.2018 13:00 - 10.01.2018 14:00,2018,0.058763264,0.313421521,0.452185274,0.360242726,0.272810191
10.01.2018 14:00 - 10.01.2018 15:00,2018,0.059055087,0.310350246,0.436602332,0.366411587,0.290678628
10.01.2018 15:00 - 10.01.2018 16:00,2018,0.057350066,0.31050808,0.437378681,0.387782467,0.305872463
10.01.2018 16:00 - 10.01.2018 17:00,2018,0.057815435,0.299700514,0.434176135,0.413923531,0.31441521
10.01.2018 17:00 - 10.01.2018 18:00,2018,0.057377589,0.288438393,0.419865642,0.415416014,0.309966647
10.01.2018 18:00 - 10.01.2018 19:00,2018,0.054422424,0.273110791,0.40832215,0.392964678,0.294112894
10.01.2018 19:00 - 10.01.2018 20:00,2018,0.047665223,0.257167054,0.404809155,0.365128311,0.281669598
10.01.2018 20:00 - 10.01.2018 21:00,2018,0.043309383,0.247996726,0.41634863,0.336097161,0.272177472
10.01.2018 21:00 - 10.01.2018 22:00,2018,0.039852926,0.249992651,0.430909666,0.27561546,0.270627873
10.01.2018 22:00 - 10.01.2018 23:00,2018,0.043793468,0.24722772,0.416669376,0.224866845,0.23215928
10.01.2018 23:00 - 11.01.2018 00:00,2018,0.046147714,0.243000002,0.43713578,0.1952319,0.222796689
11.01.2018 00:00 - 11.01.2018 01:00,2018,0.048760405,0.241026805,0.448053721,0.183706913,0.217726625
11.01.2018 01:00 - 11.01.2018 02:00,2018,0.051894941,0.245909202,0.451716353,0.175246351,0.21789384
11.01.2018 02:00 - 11.01.2018 03:00,2018,0.055243207,0.248396657,0.468834435,0.184128955,0.21707309
